,0
0,8.055133434295655
1,4.66588343518575
2,2.9147167675018317
3,2.375566767374676
4,2.9799001015981044
5,3.537733432769775
6,3.1261834378043813
7,1.7603501000980544
8,2.677516702842712
9,0.12983343200683595
10,-1.3335666355133056
11,-2.8973666717529283
12,-2.9505833282470713
13,-2.4773999867757173
14,-4.068066667683919
15,-3.15556668548584
16,-4.04896667175293
17,-2.2010998418172196
18,1.9704835390885678
19,2.999150167440262
20,7.019133512923941
21,12.032233433659869
22,8.375116766748324
23,6.81650010150075
24,9.253525103410086
25,4.65695009991129
26,4.145891766593854
27,3.120533433043957
28,3.197400099929175
29,2.8246667663613954
30,3.075516761126122
31,2.359966751364866
32,0.1490167139053341
33,0.6280333335876462
34,-2.3927833290100096
35,-3.1683499619801827
36,-5.123233321634928
37,-4.146433309682211
38,-1.5163332862854022
39,-0.9395499903360993
40,0.6928166671752944
41,4.346600017293293
42,6.68370003827413
43,8.016433522878517
44,6.780900274602043
45,6.967383558604938
46,5.913033531125386
47,4.730850199212631
48,4.3443085323492685
49,1.8928168656865765
50,1.9767668657620754
51,2.1430501995325084
52,1.6942001990954079
53,2.3636168655912084
54,2.633850199127197
55,1.8028335297584541
56,-1.0479332308451341
57,-0.8636832221984857
58,-1.3212499946594252
59,-3.977449989827472
60,-5.33206666463216
61,-2.814133320109049
62,2.264166678873698
63,1.6053500055948888
64,2.7218833343505833
65,4.451133358256022
66,2.202425167846679
67,4.53098357777412
68,6.969283579622193
69,7.5645002030690485
70,5.772466869649455
71,6.39651686523788
72,3.1350418650309257
73,1.5547501989237105
74,1.5643168654978266
75,1.578850198797384
76,1.5696835303783412
77,3.626466771189371
78,6.712483333285649
79,2.3945333340009065
80,0.6703166679382334
81,-1.2340666692097977
82,-3.310583343378702
83,-6.061750006103516
84,-5.077849991861979
85,-2.1934500183105476
86,-0.6700666625976559
87,-2.315966675821941
88,-2.0513500040690094
89,2.825716670227051
90,7.0592499998728435
91,11.7374000175545
92,8.324316741666664
93,8.800866718333332
94,9.043566666666669
95,7.819483333333333
96,9.480874999999994
97,4.114383341666667
98,6.548533355000002
99,4.574400018333333
100,4.52445
101,2.8016999999999994
102,4.290349999936422
103,3.642016666444141
104,2.4805999987920115
105,0.007616662597655144
106,-1.7670000076293952
107,-4.937616659545898
108,-1.6224666651407889
109,-0.6689916697184248
110,-2.776216665649414
111,-0.860183333333334
112,-1.3068833312988266
113,2.0946833536783864
114,8.575816654586792
115,5.639225091934506
116,6.827633433333331
117,7.740316703333331
118,13.025066666666667
119,9.857616666666667
120,8.813558333333333
121,7.022449999999999
122,3.674633333333332
123,4.198450000000002
124,3.3016000000000005
125,3.713000000000002
126,4.833800000222525
127,2.4319999999364215
128,2.536333333969116
129,0.7905166664123537
